stop_id,stop_name,stop_lat,stop_lon,location_type
2062,"LUGONES, LEOPOLDO AV.&&SARMIENTO AV.",-34.567268177,-58.4078627494,0
2063,"CAMPOS, LUIS M. AV.&&GOROSTIAGA",-34.5673287986,-58.4380999224,0
2080,"CRAMER AV.&&LA PAMPA",-34.5675456203,-58.458889247,0
2116,"LAVOISIER&&NUÑEZ",-34.5680569403,-58.5023167277,0
2119,"FIGUEROA ALCORTA, PRES. AV.",-34.5681129551,-58.4167287031,0
2120,"ACHA, MARIANO, GRAL.&&RIVERA, PEDRO I., DR.",-34.5681330567,-58.4807492046,0
2122,"MELIAN AV.&&MENDOZA",-34.5677820652,-58.4686805022,0
2129,"LARRALDE, CRISOLOGO AV.&&ZADO",-34.5682416758,-58.5062618445,0
2133,"DEL LIBERTADOR AV.&&ORTEGA Y GASSET",-34.5673914143,-58.4301769766,0
2162,"MENDOZA&&WASHINGTON",-34.5687021463,-58.4702430032,0
2171,"CAMPOS, LUIS M. AV.&&VOLTA",-34.5688340249,-58.4370206642,0
2182,"ACHEGA&&NUÑEZ",-34.5689599303,-58.504211104,0
2195,"CONDE&&SUCRE, ANTONIO JOSE DE, MCAL.",-34.5691397458,-58.4638798423,0
2197,"ORTEGA Y GASSET&&SOLDADO DE LA INDEPENDENCIA",-34.5691576936,-58.4316764089,0
2206,"LE BRETON, TOMAS A.&&PACHECO",-34.5693027482,-58.4872754335,0
2209,"CAMPOS, LUIS M. AV.&&NEWBERY, JORGE",-34.5693283732,-58.4365671733,0
2217,"QUESADA&&TRIUNVIRATO AV.",-34.5694171886,-58.4921510617,0
2220,"ECHEVERRIA&&MELIAN AV.",-34.5694299842,-58.4668154182,0
2225,"DE LOS INCAS AV.&&ELCANO",-34.5695267398,-58.4577103825,0
2251,"DE LOS CONSTITUYENTES AV.&&PAZ, GRAL. AV.",-34.569997991,-58.5090394787,0
2252,"MEDEYROS&&NUÑEZ",-34.5699733045,-58.5063371423,0
2265,"JURAMENTO&&NAON, ROMULO",-34.5701506168,-58.4704162866,0
2277,"MELIAN AV.&&SUCRE, ANTONIO JOSE DE, MCAL.",-34.5702934768,-58.4658381968,0
2282,"PIRAN&&ZADO",-34.5703836537,-58.5045337799,0
2287,"FIGUEROA ALCORTA, PRES. AV.&&LEVILLIER, ROBERTO, D",-34.5705197688,-58.4133537319,0
2288,"LEVILLIER, ROBERTO, DR.&&ROLDAN, BELISARIO AV.",-34.570083844,-58.412839016,0
2294,"CAPDEVILA&&LE BRETON, TOMAS A.",-34.5705984857,-58.4896346326,0
2307,"DIAZ COLODRERO&&NAHUEL HUAPI",-34.570752997,-58.4879429665,0
2322,"ALVAREZ THOMAS AV.",-34.5710008607,-58.4839192988,0
2323,"BUCARELLI&&CONGRESO AV.",-34.5710098787,-58.4925245888,0
